"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06v0p*","Enzo Le Fee","SUN","M","167","FA","@NOT Sat 5:30PM","30.27","7.57","38%","+4%"
"*0689w*","Georginio Rutter","BHA","F","168","joester1","@CHE Sat 3:00PM","30.07","7.52","80%","-4.1%"
"*04f6o*","Will Hughes","CRY","M","169","FA","LIV Sat 3:00PM","29.91","5.98","4%","+0.3%"
"*04abb*","Phil Foden","MCI","M","170","Ekitiki","BUR Sat 3:00PM","29.74","9.91","100%","+1.5%"
"*04qfq*","Matt ORiley","BHA","M","171","FA","@CHE Sat 3:00PM","29.64","14.82","28%","-7.3%"
"*02lk5*","Jordan Henderson","BRF","M","172","FA","MUN Sat 12:30PM","29.59","5.92","4%","+1.9%"
"*06mga*","Mads Hermansen","WHU","G","173","EDL4EFL","@EVE Mon 8:00PM","28.95","7.24","5%","-0.6%"
"*03r8x*","Callum Wilson","WHU","F","174","FA","@EVE Mon 8:00PM","28.76","5.75","29%","+4.4%"
"*03pif*","Karl Darlow","LEE","G","175","CUM","BOU Sat 3:00PM","28.35","14.18","2%","+1%"
"*06rma*","Marshall Munetsi","WOL","M","176","FA","@TOT Sat 8:00PM","28.31","5.66","17%","-4%"
"*0522h*","Alexis Mac Allister","LIV","M","177","Rozza08","@CRY Sat 3:00PM","27.92","6.98","98%","-0.6%"
"*0642l*","Casemiro","MUN","M","178","FA","@BRF Sat 12:30PM","27.87","5.57","8%","-0.5%"
"*05ocl*","Ollie Watkins","AVL","F","179","ojag7","FUL Sun 2:00PM","27.69","5.54","100%","-0.2%"
"*02oq6*","Luke Shaw","MUN","D","180","FA","@BRF Sat 12:30PM","27.6","5.52","9%","-1.7%"
"*061va*","Boubacar Kamara","AVL","M","181","joester1","FUL Sun 2:00PM","27.52","9.17","6%","+0.4%"
"*02yl5*","John Stones","MCI","D","182","Ekitiki","BUR Sat 3:00PM","27.26","6.82","23%","-4.3%"
"*06ybq*","Chemsdine Talbi","SUN","F","183","FA","@NOT Sat 5:30PM","27.26","5.45","11%","+0.4%"
"*05oh0*","Jan-Paul van Hecke","BHA","D","184","EDL4EFL","@CHE Sat 3:00PM","27.25","5.45","21%","-2.1%"
"*0626q*","Simon Adingra","SUN","M","185","FA","@NOT Sat 5:30PM","27.18","6.79","51%","-5.2%"
"*04lav*","Ethan Ampadu","LEE","D","186","FA","BOU Sat 3:00PM","27.14","9.05","3%","+0.7%"
"*05os4*","Rayan Ait-Nouri","MCI","D","187","FPLL","BUR Sat 3:00PM","27.09","9.03","93%","-3.8%"
"*06y29*","Habib Diarra","SUN","M","188","FA","@NOT Sat 5:30PM","27.05","6.76","5%","-0.9%"
"*03zsq*","Kyle Walker-Peters","WHU","D","189","FA","@EVE Mon 8:00PM","26.95","6.74","8%","-0.3%"
"*062p3*","Keane Lewis-Potter","BRF","M","190","feeneya","MUN Sat 12:30PM","26.79","5.36","13%","-1.1%"
"*061vb*","James Hill","BOU","D","191","FA","@LEE Sat 3:00PM","26.44","5.29","2%","-0.9%"
"*04yo7*","Youri Tielemans","AVL","M","192","FA","FUL Sun 2:00PM","26.4","6.6","83%","-10.9%"
"*06r9w*","Abdukodir Khusanov","MCI","D","193","CTM","BUR Sat 3:00PM","26.29","6.57","21%","+10%"
"*06yxe*","Estevao Willian Almeida de Oliveira Goncalves","CHE","F","194","ojag7","BHA Sat 3:00PM","25.98","6.5","79%","+1.8%"
"*0524k*","Rodri","MCI","M","195","Ekitiki","BUR Sat 3:00PM","25.95","6.49","93%","-2.8%"
"*06rm7*","Nico Gonzalez","MCI","M","196","FA","BUR Sat 3:00PM","25.55","6.39","13%","-3.1%"
