"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*063y7*","Destiny Udogie","TOT","D","D","303","FA","@NOT Sun 2:00PM","3.05","3.05","19%","-4%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*066r9*","Ehor Yarmolyuk","BRF","M","M","167","FA","LEE Sun 4:30PM","3.05","3.05","7%","-1%","1","1","90","0","0.0","0","0","0","0","1","1","1","0","4","0","0","0"
"*02oq6*","Luke Shaw","MUN","D","D","134","FPLL","BOU Mon 8:00PM","2.99","2.99","20%","-5%","1","1","87","0","0.0","0","0","0","0","3","0","1","0","6","0","0","0"
"*05tr9*","Mathias Jensen","BRF","M","M","264","FA","LEE Sun 4:30PM","2.85","2.85","1%","0%","1","1","60","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*05w91*","Hwang Hee-Chan","WOL","F","F","307","FA","@ARS Sat 8:00PM","2.84","2.84","3%","0%","1","0","22","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*06yxe*","Estevao Willian Almeida de Oliveira Goncalves","CHE","F","F","216","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","2.8","2.8","73%","-4%","1","1","45","0","0.0","0","0","2","0","1","3","1","0","4","0","0","0"
"*06c4o*","Lyle Foster","BUR","F","F","209","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","2.8","2.8","16%","-1%","1","1","90","0","0.0","0","0","3","0","0","0","0","0","0","0","0","0"
"*06xza*","Eli Kroupi","BOU","F","F","232","EDL4EFL","@MUN Mon 8:00PM","2.7","2.7","26%","-8%","1","1","60","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"*02lk5*","Jordan Henderson","BRF","M","M","147","FA","LEE Sun 4:30PM","2.56","2.56","12%","+1%","1","0","28","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0554g*","Calvin Bassey","FUL","D","D","165","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","2.55","2.55","10%","+3%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
